 Blood Bank Name, State, District, City, Address,Pincode, Contact No, Email, Latitude, Longitude
G.B. Pant Hospital Blood bank,Andaman And Nicobar Islands,SOUTH ANDAMAN,Port Blair,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
",744104,03192 230628,bbgbpant@gmail.com,11.675442,92.747338
I.N.H.S. Dhanvantri,Andaman And Nicobar Islands,SOUTH ANDAMAN,Port Blair,"Ashvini Nagar, Port Blair, Andaman and Nicobar Islands.",744103,03192 248759,,11.649693,92.717418
Pillar Health Centre Blood Bank,Andaman And Nicobar Islands,SOUTH ANDAMAN,Port Blair,"Lamba Line,
P.B. 526,
P.O. Junglighat, 
Opposite Airport",744104,"03192 233193, 03192 233993",pillarbloodbank2016@gmail.com,11.653229,92.730714
"Indian Red Cross Society Blood Bank, District Branch",Andhra Pradesh,ANANTAPUR,Anantapur,"Near JNTU Engeneering College, Sarada Nagar, Ananthapur.",515002,08554 246344,,14.654936,77.609915
Government General Hospital Blood Bank,Andhra Pradesh,ANANTAPUR,Ananthapur,"Government General Hospital, Ananthapur",515001,08554 275024,bloodbankgghatp@gmail.com,14.671459,77.596684
Indian Red Cross Society,Andhra Pradesh,ANANTAPUR,Ananthapur,"Blood Bank Medical Officer,Blood Bank, Indian Red Cross Society, Anantpur",515001,8554246344,ircsbloodbank.anantapur@gmail.com,14.681888,77.600591
Rural Development Trust Hospital Blood Bank,Andhra Pradesh,ANANTAPUR,Bathalapalli,"Kadiri Road, Bathalapalli, Ananthapur",515661,08559 244259,,14.652907,77.618826
South Central Railway Hospital Blood Bank,Andhra Pradesh,ANANTAPUR,Guntakal,"S.C. Railway Hospital, Guntakal, Ananthapuramu",515801,08552 227166,,15.172889,77.366103
Indian Red Cross Society Blood Bank,Andhra Pradesh,ANANTAPUR,Hindupur,"Government General Hospital Blood Bank, Hindupur, Ananthapur
",515201,08556 225900,ircshup@gmail.com,13.832533,77.492214
Indian Red Cross Society Blood bank RCH -II KADIRI,Andhra Pradesh,ANANTAPUR,Kadiri,"Ground Floor, APVVP (Government General Hospital) Area Hospital, Kadiri, Ananthapur
",515591,08494 221544,kadiriircs@gmail.com,14.113089,78.157366
S.S.S.I.H.M.S. Blood Bank,Andhra Pradesh,ANANTAPUR,Puttaparthy,"Prasanthigram, Puttaparthy, Ananthapuramu",515134,08555 287900,saikiran_ptp@yahoo.co.in,14.151889,77.77685
District Head Quarters Hospital Blood Bank. ,Andhra Pradesh,CHITTOOR,Chittoor,"Head Quarters  Hospital Compound, Chittoor",517001,,bloodbankctr1@gmail.com,13.217176,79.100329
