Civil Surgeon General Hospital Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,"District Government Hospital Tarakpur Savedi Road, Ahmednagar",414001,bloodbankcha37@gmail.com,19.108046,74.73557
Sanjeevani Blood Bank Kopargaon,Maharashtra,AHMEDNAGAR,Ahmednagar,"110, 2/B Nishigandh, Vivekanand Nagar, Near  S.G. Vidyalay, Kopargaon
",423601,,19.88042,74.470873
Rotary Blood Bank - Rahuri Charitable Trust,Maharashtra,AHMEDNAGAR,Ahmednagar,"Acharya Anand Rushiji Bhavan, Near Water Tank, Nagar Manmad Road,  A/P Rahuri, Ahmednagar District
",413705,,19.419633,74.65553
Arpan Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,"First Floor, H.No.1542/43, Above Bank of Badoda, Swatantrya Chowk, Sangamner,  Ahmednagar District
",422605,nandkishor@arpanbloodbank.org,19.569309,74.206528
Jankalyan Blood Bank Nalegaon,Maharashtra,AHMEDNAGAR,Ahmednagar,"Gadgil Patangan, Nalegaon, Ahmednagar

",414001,jankalyanbloodbanknagar@rediffmail.com,18.501067,73.857499
Pravara Medical Trust Blood Bank - Pravara Rural Hospital and Medical Dental College Loni (BK),Maharashtra,AHMEDNAGAR,Ahmednagar,"Pravara Rural Hospital & Medical Dental College Loni (BK) TQ. Rahata, Ahmednagar ",413736,,19.578952,74.456127
Shri Sainath Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,"Opposite to Bus Stand,  Shri Saibaba Sansthan, Shirdi Tal - Rahata
",423109,,19.763137,74.47058
"Padmashri Dr. Vithalrao Vikhe Patil Foundation, Ahmednagar Medical College Hospital Blood Bank",Maharashtra,AHMEDNAGAR,Ahmednagar,"Opposite to Government Milk Dairy, Vadgaon Gupta  M.I.D.C., Ahmednagar ",414111,,19.181403,74.689625
Shrirampur Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,Shrirampur,413709,,19.619247,74.663502
Anand Rushiji Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,"Survey No.16/1, Plot No.2 Behind Anadrushiji Hospital Burudgaon Road,
",414001,,19.080688,74.732289
"Jeevanraj Charitable Foundation,s Ahmednagar Blood Bank",Maharashtra,AHMEDNAGAR,Ahmednagar,"F.P. No. - 17, 2nd Floor, Ahmednagar Zillha Krishi Audyogik Sarva Seva Sahakari Sanstha Maryadit, Market Yard, Ahmednagar
",414001,,19.082959,74.760389
Nandkishor Education Society - Arpan Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,"2nd  Floor, Sahakar Kranti Building, Market Yard, Nagar - Pune Road 
",414001,"nandkishor@arpanbloodbank.org,",20.004874,73.787165
"Poonam Janjagruti Sanstha Sanchit, Ashtavinayak Blood Bank",Maharashtra,AHMEDNAGAR,Ahmednagar,"Ashtavinayak Blood Bank, Ahmednagar  1st Floor, Sai Palace Opposite  to Akashwani Kendra, Near Professsor Coloney Chowk, Ahmednagar
",414003,ashtavinayakbloodbank@gmail.com,19.117005,74.735872
Ahmednagar Municipal Council Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,Ahmednagar,,,,
Civil Surgeon General Hospital Blood Bank,Maharashtra,AKOLA,Akola,"District General Hospital Compound, Z.P. Road, Akola
",444001,bloodbankgmcakola@gmail.com,20.702666,77.001984
District Hospital for Women Blood Bank,Maharashtra,AKOLA,Akola,"Plot No.2, OPD Building, District Hospital for Women, Near Durga Chowk, Akola-444005
",444001,dhw_akola@rediffmail.com,20.714492,77.008904
Dr. Vivek Pimpalkar Blood Bank,Maharashtra,AKOLA,Akola,"Najul Shit No. 408, Plot No-9/7, Krishna Kripa Building,  M.G.Road, Akola
",444101,,21.106181,77.072925
