Id,Name,Address,Contact_no,Email_ID,Lattitude,Longitude
1,Civil Surgeon General Hospital Blood Bank,"District Government Hospital Tarakpur Savedi Road, Ahmednagar,Ahmednagar-414001,AHMEDNAGAR,Maharashtra",917213222303,bloodbankcha37@gmail.com,19.108046,74.73557
2,Arpan Blood Bank,"First Floor, H.No.1542/43, Above Bank of Badoda, Swatantrya Chowk, Sangamner,  Ahmednagar District
,Ahmednagar-422605,AHMEDNAGAR,Maharashtra",918890997280,nandkishor@arpanbloodbank.org,19.569309,74.206528
3,Jankalyan Blood Bank Nalegaon,"Gadgil Patangan, Nalegaon, Ahmednagar

,Ahmednagar-414001,AHMEDNAGAR,Maharashtra",917737481334,jankalyanbloodbanknagar@rediffmail.com,18.501067,73.857499
4,Nandkishor Education Society - Arpan Blood Bank,"2nd  Floor, Sahakar Kranti Building, Market Yard, Nagar - Pune Road 
,Ahmednagar-414001,AHMEDNAGAR,Maharashtra",918346558022,"nandkishor@arpanbloodbank.org,",20.004874,73.787165
5,"Poonam Janjagruti Sanstha Sanchit, Ashtavinayak Blood Bank","Ashtavinayak Blood Bank, Ahmednagar  1st Floor, Sai Palace Opposite  to Akashwani Kendra, Near Professsor Coloney Chowk, Ahmednagar
,Ahmednagar-414003,AHMEDNAGAR,Maharashtra",919393722822,ashtavinayakbloodbank@gmail.com,19.117005,74.735872
6,Civil Surgeon General Hospital Blood Bank,"District General Hospital Compound, Z.P. Road, Akola
,Akola-444001,AKOLA,Maharashtra",918455289434,bloodbankgmcakola@gmail.com,20.702666,77.001984
7,District Hospital for Women Blood Bank,"Plot No.2, OPD Building, District Hospital for Women, Near Durga Chowk, Akola-444005
,Akola-444001,AKOLA,Maharashtra",919361219471,dhw_akola@rediffmail.com,20.714492,77.008904
8,Akola Diagnostic Centre Blood Bank and Component Lab,"Shivshirsh, Opposite to Gajanan Hospital, Ramnagar, Akola
,Akola-444001,AKOLA,Maharashtra",917329122647,akoladiagnostic@rediffmail.com,20.70644,77.011207
9,ICON Blood Bank - Ganediwal Charitable Trust,"Ganediwal Charitable Trust, ICON Blood Bank, ICON Hospital, Kedia Plot, Akola,Akola-444 001,AKOLA,Maharashtra",918863072576,iconakola@rediffmail.com,20.713446,77.011958
10,District General Hospital Blood Bank Amravati,"Dr. Babasaheb Ambedkar Chowk, District General Hospital Blood Bank, Amaravati,Amravati-444601,AMRAVATI,Maharashtra",918356610580,cs_amravati@rediffmail.com,20.93386,77.760815
11,Shri Balaji Blood Bank & component lab Amravati,"1st Floor, Alsi Complex, Ambapeth, Amravati
,Amravati-444601,AMRAVATI,Maharashtra",918924868982,"drckdara@yahoo.com,",20.928177,77.756362
12,Dr. P.D.M.H.C. Hospital and Research Centre Blood Bank,"Block-A,1st Floor, Shivaji Nagar, Amravati 
,Amravati-440603,AMRAVATI,Maharashtra",919506069123,sandippatil@gmail.com,20.923,77.816645
13,Sant Gadgebaba Blood Bank and Component Centre Badnera,"Opposite to Shrihari Hospital, Juni Vasti (Old Town), Badnera  Amravati
,Amravati-444701,AMRAVATI,Maharashtra",918843260401,sopanblood@gmail.com,20.794116,77.709547
14,Dr. Late Sadanadaji Burma Memorial Blood Bank,"Plot No- 53, Sheet No-20c, Gvalipura,  Sadar Bazar, Paratwada, Amravati
,Amravati-444805,AMRAVATI,Maharashtra",917784046446,rsburma@yahoo.co.in,21.298921,77.518316
15,Regional Blood Bank Government Medical College and Hospital,"Regional Blood Bank Government Medical College and Hospital, Aurangabad, (GHATI),Aurangabad-431001,AURANGABAD,Maharashtra",919557057486,bbgmchabad@gmail.com,19.890542,75.317164
16,Mahatma Gandhi Mishan (MGM) Hospital Blood Bank,"Mahatma Gandhi Mishan Medical College & Hospital Blood Bank, N-6, Town Center,  CIDCO,  Aurangabad ,Aurangabad-431003,AURANGABAD,Maharashtra",919227021885,drcpbhale@rediffmail.com,19.877896,75.354519
17,Dattaji Bhale Blood Bank - Hedgewar Hospital,"C/o. Dr. Hegdewar Rugnalaya Campus, Near Gajanan Mandir, Jawahar Colony Road, Garkheda Parisar,  Aurangabad
,Aurangabad-431005,AURANGABAD,Maharashtra",917984499969,mahendrasingh-chauhan@hedgewar.org,19.876165,75.343313
18,Lokmanya Blood Bank,"Gopinath Chember,  Basement Floor, Behind Jaydev Travels, Adalat Road,  Aurangabad ,Aurangabad-431005,AURANGABAD,Maharashtra",917456039809,adm.lokmanya@gmail.com,19.872123,75.323251
19,Seth Nandlal Dhoot Hospital Blood Bank,"Plot No A-1, MIDC Chikalthana, Jalna Road, Aurangabad
,Aurangabad-431210,AURANGABAD,Maharashtra",919871459860, bloodbank@dhoothospital.com,19.872742,75.387668
20,Arpan Voluntary (Marathwada)  Blood Bank,"2nd Floor, Soniya Chambers, Near Uddhanpula, Seven Hills, Jalna Road, Aurangabad
,Aurangabad-431001,AURANGABAD,Maharashtra",919769689650,nandkishor@arpanbloodbank.org,19.875504,75.352445
21,Amruta Blood Bank,"Shop No- 102/103, 1st Floor ,Nano Comlex Near Shanoormiya Arga, Vegetable Arket, Shahnoorwadi, Aurangabad
,Aurangabad-431001,AURANGABAD,Maharashtra",919913631836,amrutabloodbank@gmail.com,19.855842,75.338268
22,Aurangabad Blood Bank,"Opposite to Sparsh Hospital, Jawahar Nagar Akashwani Aurangabad
,Aurangabad-431001,AURANGABAD,Maharashtra",918699616119,aurangabadbloodbank@gmail.com,19.873384,75.344972
23,Lions Blood Bank,"1st Floor, above Lions  Balsadan, Near Teg Bahadur English School, Osmanpura, Aurangabad ,Aurangabad-431005,AURANGABAD,Maharashtra",918947338728,lionsbloodbank0708@gmail.com,19.87244,75.323188
24,Civil Surgeon General Hospital Blood Bank,"Civil Surgeon District General Hospital, Barshi Road, Beed  ,Beed-431122,BEED,Maharashtra",918471909923,bloodbankbeed@rediffmail.com,18.986918,75.75332
25,Swami Ramanand Tirth Arben Medical College Hospital Blood Bank,"Swami Ramanand Tirth Arben Medical College Hospital Ambajogai Tq. Ambajogai,  Beed,Beed-431517,BEED,Maharashtra",917738305858,srtrgmcbb@gmail.com,18.731377,76.370902
26,Arpan Blood Bank Beed,"3rd Floor, Thorat Multispeciality Hospital, D.P. Road, Anand Nagar, Ambejogai, Dist - Beed,
,Beed-431517,BEED,Maharashtra",917833719540,nandkishor@arpanbloodbank.org,18.725503,76.390737
27,Civil Hospital Bhandara Blood Bank,"General Hospital Blood Bank, Bhandara
,Bhandara-441904,BHANDARA,Maharashtra",919835538893,bloodbank_bhandara@rediffmail.com,21.162022,79.65973
28,Jeevandhara Buldana Urban Blood Bank,"1st Floor, DSD City Mall, Above Bank of India, Tehsil to Stadium Road, Buldhana 
,Buldana-443001,BULDHANA,Maharashtra",919612262394,maheshbhakkad@gmail.com,20.532707,76.180604
29,Government Hospital Blood Bank,"General Hospital Shegaon Road, Khamgaon, Buldhana,Buldhana-444303,BULDHANA,Maharashtra",918708933088,"ghkbb134@gmail.com, ms_ghkhamgaon@rediffmail.com",20.708409,76.566704
30,Civil Surgeon District General Hospital Blood Bank,"General Hospital Blood Bank Buldhana, Near Prabadhan School, Bhonde Sarakar Chauk Bhuldhana(M.S),Buldhana-443001,BULDHANA,Maharashtra",919596267665,cs_buldhana@rediffmail.com,20.533583,76.187482
31,Dr. Murlidhar Kharche Memorial Jeevan Jyoti Blood Bank,"Bharat Kala Road, Malkapur, Buldhana ,Buldhana-443101,BULDHANA,Maharashtra",918287838407,jkpatho@gmail.com,20.886486,76.207174
32,General Hospital Blood Bank,"Government General Hospital Blood Bank, Near Chota Bazar, Main Road, Mahatma Gandhi Marg, Chandrapur,Chandrapur-442402,CHANDRAPUR,Maharashtra",919914695404,bbchandrapur@gmail.com,19.953683,79.296742
33,Ankur Hospital Blood Bank,"Balaji Ward, Chandrapur,Chandrapur-442402,CHANDRAPUR,Maharashtra",919703069929,ankurhospital@rediffmail.com,19.970044,79.30788
34,Christanand Education Society Blood Bank,"Christanand Education Society Blood Bank,  Christanand Hospital, Gujri Ward No.2, Brahmapuri,Chandrapur-441206,CHANDRAPUR,Maharashtra",918922269109,christanandhosp@gmail.com,20.607715,79.855757
35,Shri Bhausaheb Hire Government Medical College and Hospital Blood Bank,"Civil Hospital Compound, Sakri Road Dhule,Dhule-424001,DHULE,Maharashtra",918334428621,bloodbankdhule@gmail.com,20.863814,74.761869
36,Jawahar Medical Foundation Blood Bank,"Hutatma Shririshkumar Nagar, Opposite to Jawahar Suthgirani, Morane, Sakri Road, Dhule,Dhule-424001,DHULE,Maharashtra",919142864198,acpm@rediffmail.com,20.90361,74.741293
37,Jeevan Jyoti Blood Bank,"3252 Agra Road, Near Prabhakar Theater,Dhule-424001,DHULE,Maharashtra",918113732780,bb_jyoti@yahoo.com,20.897883,74.775354
38,Nirnay Janseva Blood Bank,"Fulwala Chowk, (C.S.No.1415/A/1/A) Lane No. 4  Dr. Odhekar Building, Agra Road,Dhule-424001,DHULE,Maharashtra",919372956297,nirnayjansevabloodbank@gmail.com,20.904116,74.77767
39, Late  Shri Mukeshbai Patel Blood Bank ,"Shree Swami  Samartha Vaidyakiya  Shaikshanik and Sanshodhan Sanstha, Late  Shri Mukeshbai Patel Blood Bank, 1st Floor, Agrasen  Patpedhi, Maharaja Complex  Shirpur, Dhule ,Dhule-424001,DHULE,Maharashtra",918989847709, bb_shirpur@yahoo.com,21.458578,74.961094
40,Sub-District Rural Hospital Blood Bank,"Aheri, At Post and Tal., Aheri, Gadchiroli,Gadchiroli-442705,GADCHIROLI,Maharashtra",917169129334,ms.sdhaheri@gmail.com,19.414671,80.003753
41,Civil Surgeon - General Hospital Blood Bank,"Gadchiroli, General Hospital Blood Bank, Gadchiroli,Gadchiroli-442605,GADCHIROLI,Maharashtra",919603705211,bloodbankgadchiroli@gmail.com,20.170208,79.982909
42,Bai Gangabai Ladies Hospital Blood Bank,"Gondia, Bai Gangabai Ladies Hospital Blood Bank, Civil Lines,  Gondia,Gondia-441601,GONDIA,Maharashtra",918701393746,msbgwhgondia@gmail.com,21.459648,80.196834
43,Civil Surgeon - District General Hospital Blood Bank,"Akola Road Risala Bazar, Hingoli,Hingoli-431513,HINGOLI,Maharashtra",918966435978,Bloodbankhingoli@gmail.com,19.721787,77.154487
44,Jeevan Surabhi Blood Bank,"Kargaon Road, Laxmi nagar,  Chalisgaon, Jalgaon,Jalgaon-424101,JALGAON,Maharashtra",918687421111,jsbb@live.in,20.464642,74.998859
45,Dhanwantri Blood Bank,"H. No. 5/464/1, T. P. Scheme, No-1, Survey No 124/1/3A Plot No. 777/3, Jamner Road, Rangoli Hotel, Jawal Anand Nagar Bhusawal, Jalgaon ,Jalgaon-425201,JALGAON,Maharashtra",918611420400,bloodbank308@yahoo.com,21.034297,75.781029
46,Indian Red Cross Society Blood Bank,"Near Civil Hospital, Athwadi Bazar, Opposite to B.J.Market, Jalgaon,Jalgaon-425001,JALGAON,Maharashtra",917317638013,ircs_jal@yahoo.in,21.011122,75.567945
47,M/s. Jalgaon Blood Bank and Component,"Near Mahesh Pragati Bhavan, Ring Road, Jalgaon,Jalgaon-425002,JALGAON,Maharashtra",918898642615,jalgaon.bb@gmail.com,21.00408,75.493766
48,Jankalyan Blood Bank,"Wing No. 03, S. No. 224, Shri Chatrapati Shivaji Maharaj Bazar Sankul, Old Cotton Market Yard,Jalna-431203,JALNA,Maharashtra",918102002805,jalnajankalyan@gmail.com,19.867491,75.879779
49,Noor Hospital Blood Bank,"Aurangabad - Jalna Road, Warudi, Tq- Badnapur, Jalna,Jalna-431202,JALNA,Maharashtra",919316446866,"iimsk11@gmail.com, iimsr11@gmail.",19.860878,75.664447
50,Rajashri Chatrapati Shahu Maharaj Government Medical College and Chatrapati Pramilaraje General Hospital Blood Bank,"Dasara Chowk, Somwar Peth, C. P. R. Hospital Compound, Kolhapur
,Kolhapur-416001,KOLHAPUR,Maharashtra",918129827213,rcsmgmc.cprbloodbank@gmail.com,16.701443,74.227074
51,Late Balasaheb Datye - Lions Blood Bank,"5/468, Datye Mala, Lions Park,  Ichalkaranji, Tal-Hatkanangale, Kolhapur
,Kolhapur-416115,KOLHAPUR,Maharashtra",919218533789,lbbank89@gmail.com,16.681682,74.467741
52,Rajarshi Shahu Blood Bank,"Rotary Samaj Seva Centre, 253, K.E.Assembly Road, Kolhapur
,Kolhapur-416002,KOLHAPUR,Maharashtra",919826445566,rsbbkop@gmail.com,16.691308,74.244866
53,Mahatma Gandhi Hospital Blood Bank,"At Post - New Pargaon, TQ-Hatkanangale, Kolhapur,Kolhapur-416137,KOLHAPUR,Maharashtra",918103088692,mghbbnewpargaon@gmail.com,16.86221,74.240034
54,Annasaheb Galatge Lions Blood Bank,"Doctor&#39;s Colony, Gadhinglaj, Kolhapur,Kolhapur-416502,KOLHAPUR,Maharashtra",918324742736,annasahebg@gmail.com,16.186455,74.372559
55,Acharya Shree Tulsi Blood Bank ,"Gate No.1232 Sangli - Kolhapur Road, Jaysingpur Udgaon, Kolhapur
,Kolhapur-416101,KOLHAPUR,Maharashtra",919187341548,tulsiblood@rediffmail.com,16.785709,74.56459
56,Dr. D. Y. Patil Hospital Blood Bank,"Kadamwadi, Kolhapur,Kolhapur-416003,KOLHAPUR,Maharashtra",917416979091,dypihbt@yahoo.com,16.715186,74.256447
57,Arpan Blood Bank - Blood Component and Apheresis Centre Kolhapur,"1st Floor, Saroj Appartment, Subhash Road 1315, &#39;C&#39; Ward,  Opposite to Shramik Bhavan, Laxmipuri, Kolhapur,Kolhapur-416001,KOLHAPUR,Maharashtra",918187908005,babasahebaghav@gmail.com,19.189209,72.97706
